movie_id,title,release_year,runtime,genres,directors,cast,countries,collection_date,release_date,imdb_rating,rt_rating
115,The Big Lebowski,1998,117,"['Comedy', 'Crime']",['Joel Coen'],"['Jeff Bridges', 'John Goodman', 'Julianne Moore', 'Steve Buscemi', 'David Huddleston', 'Philip Seymour Hoffman', 'Tara Reid', 'Philip Moon', 'Mark Pellegrino', 'Peter Stormare', 'Flea', 'Torsten Voges', 'Jimmie Dale Gilmore', 'Jack Kehler', 'John Turturro']","['United Kingdom', 'United States of America']",2025-11-21 16:13:13,1998-03-06,8.1,79%
9430,Go,1999,102,"['Crime', 'Comedy', 'Thriller']",['Doug Liman'],"['Sarah Polley', 'Timothy Olyphant', 'Katie Holmes', 'Desmond Askew', 'Jay Mohr', 'Scott Wolf', 'Taye Diggs', 'William Fichtner', 'Nathan Bexton', 'Breckin Meyer', 'James Duval', 'J.E. Freeman', 'Jimmy Shubert', 'Jane Krakowski', 'Melissa McCarthy']",['United States of America'],2025-11-21 16:22:21,1999-04-09,7.2,91%
14,American Beauty,1999,122,['Drama'],['Sam Mendes'],"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley', 'Mena Suvari', 'Peter Gallagher', 'Allison Janney', 'Chris Cooper', 'Scott Bakula', 'Sam Robards', 'Barry Del Sherman', 'Ara Celi', 'John Cho', 'Hal Fort Atkinson', 'Sue Casey']",['United States of America'],2025-11-21 17:16:22,1999-09-15,8.3,87%
9428,The Royal Tenenbaums,2001,110,"['Comedy', 'Drama']",['Wes Anderson'],"['Gene Hackman', 'Anjelica Huston', 'Ben Stiller', 'Gwyneth Paltrow', 'Luke Wilson', 'Owen Wilson', 'Bill Murray', 'Danny Glover', 'Seymour Cassel', 'Kumar Pallana', 'Alec Baldwin', 'Grant Rosenmeyer', 'Jonah Meyerson', 'Aram Aslanian-Persico', 'Irina Gorovaia']",['United States of America'],2025-11-21 17:38:52,2001-10-05,7.6,81%
629,The Usual Suspects,1995,106,"['Drama', 'Crime', 'Thriller']",['Bryan Singer'],"['Stephen Baldwin', 'Gabriel Byrne', 'Benicio del Toro', 'Kevin Pollak', 'Kevin Spacey', 'Chazz Palminteri', 'Pete Postlethwaite', 'Suzy Amis', 'Giancarlo Esposito', 'Dan Hedaya', 'Paul Bartel', 'Carl Bressler', 'Phillipe Simon', 'Jack Shearer', 'Christine Estabrook']",['United States of America'],2025-11-21 20:20:29,1995-07-19,8.5,87%
623,A Fish Called Wanda,1988,109,"['Comedy', 'Crime']",['Charles Crichton'],"['Jamie Lee Curtis', 'John Cleese', 'Kevin Kline', 'Michael Palin', 'Maria Aitken', 'Tom Georgeson', 'Cynthia Cleese', 'Patricia Hayes', 'Geoffrey Palmer', 'Mark Elwes', 'Neville Phillips', 'Peter Jonfield', 'Jeremy Child', 'Stephen Fry', 'Ken Campbell']","['United Kingdom', 'United States of America']",2025-11-21 20:24:21,1988-07-15,7.5,96%
8321,In Bruges,2008,108,"['Comedy', 'Drama', 'Crime']",['Martin McDonagh'],"['Colin Farrell', 'Brendan Gleeson', 'Ralph Fiennes', 'Clémence Poésy', 'Thekla Reuten', 'Jordan Prentice', 'Elizabeth Berrington', 'Jérémie Renier', 'Mark Donovan', 'Éric Godon', 'Anna Madeley', 'Theo Stevenson', 'Olivier Bonjour', 'Zeljko Ivanek', 'Rudy Blomme']","['United Kingdom', 'United States of America']",2025-11-21 20:24:56,2008-02-08,7.9,84%
